catalogNumber,assigned_tier,ucs_score,solidity,midrib_angle,symmetry_reconstructed,mask_path,leaf_index,petiole_length_px,lamina_length_px,status
00442384,2,0.7446,0.4954,73.81,TRUE,data/masks/tier2_reflected/00442384_reflected_53.png,53,61.61,7.28,TIER_2_SYMMETRY_REFLECTED_UPPER
00442384,2,0.8179,0.5686,81.5,TRUE,data/masks/tier2_reflected/00442384_reflected_54.png,54,8.06,54.33,TIER_2_SYMMETRY_REFLECTED_LOWER
00442384,2,0.7175,0.5786,2.63,TRUE,data/masks/tier2_reflected/00442384_reflected_55.png,55,59.3,7.07,TIER_2_SYMMETRY_REFLECTED_LOWER
00442384,2,0.6359,0.6192,2.88,TRUE,data/masks/tier2_reflected/00442384_reflected_56.png,56,59.01,45.01,TIER_2_SYMMETRY_REFLECTED_UPPER
00442384,2,0.8299,0.6358,80.01,TRUE,data/masks/tier2_reflected/00442384_reflected_57.png,57,91.22,10.2,TIER_2_SYMMETRY_REFLECTED_UPPER
00442384,2,0.8473,0.8469,-47.57,TRUE,data/masks/tier2_reflected/00442384_reflected_58.png,58,6.4,36.8,TIER_2_SYMMETRY_REFLECTED_UPPER
00442384,2,0.8353,0.7013,78.68,TRUE,data/masks/tier2_reflected/00442384_reflected_59.png,59,16.03,36.01,TIER_2_SYMMETRY_REFLECTED_LOWER
00442384,2,0.8255,0.8191,-68.15,TRUE,data/masks/tier2_reflected/00442384_reflected_60.png,60,77.62,8.25,TIER_2_SYMMETRY_REFLECTED_LOWER
00442384,2,0.7657,0.6449,-62.23,TRUE,data/masks/tier2_reflected/00442384_reflected_61.png,61,12.53,71.12,TIER_2_SYMMETRY_REFLECTED_UPPER
00442384,2,0.7301,0.6073,85.82,TRUE,data/masks/tier2_reflected/00442384_reflected_62.png,62,185.69,20.22,TIER_2_SYMMETRY_REFLECTED_LOWER
00442384,1,0.9355,0.8599,-32.92,FALSE,data/masks/tier1_intact/00442384_leaf_63.png,63,4.47,31.3,TIER_1_INTACT_EXTRACTED
00442384,2,0.6694,0.4997,-84.95,TRUE,data/masks/tier2_reflected/00442384_reflected_64.png,64,60.13,23.02,TIER_2_SYMMETRY_REFLECTED_UPPER
00442384,2,0.8181,0.7469,80.9,TRUE,data/masks/tier2_reflected/00442384_reflected_65.png,65,36.12,4.0,TIER_2_SYMMETRY_REFLECTED_LOWER
00442384,3,0.7237,0.6482,32.24,FALSE,data/masks/tier3_open_curves/00442384_curve_66.csv,66,13.0,64.35,TIER_3_OPEN_CURVE_EXTRACTED
00442384,2,0.8299,0.7777,60.66,TRUE,data/masks/tier2_reflected/00442384_reflected_67.png,67,42.54,4.47,TIER_2_SYMMETRY_REFLECTED_UPPER
00504662,2,0.6071,0.4931,-47.33,TRUE,data/masks/tier2_reflected/00504662_reflected_0.png,0,104.56,12.21,TIER_2_SYMMETRY_REFLECTED_LOWER
00504662,2,0.8481,0.6667,74.35,TRUE,data/masks/tier2_reflected/00504662_reflected_1.png,1,37.34,4.0,TIER_2_SYMMETRY_REFLECTED_LOWER
00504662,2,0.7775,0.412,-72.5,TRUE,data/masks/tier2_reflected/00504662_reflected_2.png,2,77.1,8.25,TIER_2_SYMMETRY_REFLECTED_LOWER
