catalogNumber,institutionCode,species_raw,determiner_raw,determiner_tier,type_status,latitude,longitude,coordinateUncertainty,doy,pheno_sin,pheno_cos,regional_group,image_path
753150,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,48.695736,-96.57277,1000.0,168,0.24894,-0.968519,Coastal_Plain_Sandhills,data/raw_vouchers/753150.jpg
774330,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,48.462947,-92.906935,800.0,169,0.232243,-0.972658,Interior_Prairie_Midwest,data/raw_vouchers/774330.jpg
769987,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,47.566326,-90.864036,800.0,179,0.062318,-0.998056,Interior_Prairie_Midwest,data/raw_vouchers/769987.jpg
3118116,NY,Packera paupercula (Michx.) Á.Löve & D.Löve,E. F. Evert,Tier_3_Bronze,None,44.46272,-109.704863,969.0,201,-0.310857,-0.950457,Other_US,data/raw_vouchers/3118116.jpg
770704,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,48.013141,-94.343678,800.0,198,-0.261414,-0.965227,Interior_Prairie_Midwest,data/raw_vouchers/770704.jpg
770787,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.201156,-93.919616,800.0,184,-0.023651,-0.99972,Interior_Prairie_Midwest,data/raw_vouchers/770787.jpg
CSCN-V-0012041,CSCN,Packera paupercula (Michx.) Á.Löve & D.Löve,Steven B. Rolfsmeier,Tier_3_Bronze,None,44.2667,-103.9333,1500.0,200,-0.294462,-0.955663,Piedmont_Granite_Flatrocks,data/raw_vouchers/CSCN-V-0012041.jpg
CSCN-V-0012040,CSCN,Packera paupercula (Michx.) Á.Löve & D.Löve,Steven B. Rolfsmeier,Tier_3_Bronze,None,44.272099,-103.909094,800.0,200,-0.294462,-0.955663,Piedmont_Granite_Flatrocks,data/raw_vouchers/CSCN-V-0012040.jpg
3118161,NY,Packera paupercula (Michx.) Á.Löve & D.Löve,S. Goodrich,Tier_3_Bronze,None,40.8798,-109.8637,969.0,222,-0.626727,-0.779239,Other_US,data/raw_vouchers/3118161.jpg
759392,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.217384,-94.06413,800.0,149,0.546711,-0.837321,Interior_Prairie_Midwest,data/raw_vouchers/759392.jpg
v0261834WIS,WIS,Packera paupercula var. savannarum R.R.Kowal,"Mahoney, Alison",Tier_1_Gold,None,43.043771,-90.127606,569.0,139,0.681972,-0.731378,Interior_Prairie_Midwest,data/raw_vouchers/v0261834WIS.jpg
v0261836WIS,WIS,Packera paupercula var. savannarum R.R.Kowal,"Mahoney, Alison",Tier_1_Gold,None,43.083972,-89.608369,285.0,141,0.656411,-0.754404,Interior_Prairie_Midwest,data/raw_vouchers/v0261836WIS.jpg
v0261837WIS,WIS,Packera paupercula var. savannarum R.R.Kowal,"Mahoney, Alison",Tier_1_Gold,None,43.083972,-89.608369,285.0,141,0.656411,-0.754404,Interior_Prairie_Midwest,data/raw_vouchers/v0261837WIS.jpg
v0261835WIS,WIS,Packera paupercula var. savannarum R.R.Kowal,"Mahoney, Alison",Tier_1_Gold,None,43.043771,-90.127606,569.0,139,0.681972,-0.731378,Interior_Prairie_Midwest,data/raw_vouchers/v0261835WIS.jpg
v0326427WIS,WIS,Packera paupercula var. savannarum R.R.Kowal,"Mahoney, Alison",Tier_1_Gold,None,42.76888,-89.98993,250.0,145,0.602988,-0.79775,Interior_Prairie_Midwest,data/raw_vouchers/v0326427WIS.jpg
741241,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.41981,-95.183338,800.0,181,0.02795,-0.999609,Interior_Prairie_Midwest,data/raw_vouchers/741241.jpg
758770,MIN,Packera paupercula var. savannarum R.R.Kowal,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.314687,-94.192399,800.0,164,0.314942,-0.949111,Interior_Prairie_Midwest,data/raw_vouchers/758770.jpg
740184,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.434262,-95.245018,800.0,159,0.395312,-0.918547,Interior_Prairie_Midwest,data/raw_vouchers/740184.jpg
DEK000096061,DEK,Packera paupercula var. paupercula,Michael G. Van Buer,Tier_3_Bronze,None,41.731702,-87.551435,1002.0,155,0.457531,-0.889193,Interior_Prairie_Midwest,data/raw_vouchers/DEK000096061.jpg
v0005753WIS,WIS,Packera paupercula var. paupercula,"Mahoney, Alison",Tier_1_Gold,None,46.002532,-88.583117,285.0,158,0.411054,-0.911611,Interior_Prairie_Midwest,data/raw_vouchers/v0005753WIS.jpg
v0005748WIS,WIS,Packera paupercula var. paupercula,"Mahoney, Alison",Tier_1_Gold,None,45.912373,-88.703418,285.0,162,0.347403,-0.937716,Interior_Prairie_Midwest,data/raw_vouchers/v0005748WIS.jpg
741240,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.810665,-95.748005,800.0,185,-0.040844,-0.999166,Interior_Prairie_Midwest,data/raw_vouchers/741240.jpg
757847,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,47.260368,-96.077573,800.0,191,-0.143572,-0.98964,Interior_Prairie_Midwest,data/raw_vouchers/757847.jpg
757894,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.131751,-94.726579,800.0,184,-0.023651,-0.99972,Interior_Prairie_Midwest,data/raw_vouchers/757894.jpg
IND-0138443,IND,Packera paupercula (Michx.) Á.Löve & D.Löve,G. P. Waldbauer,Tier_3_Bronze,None,45.939272,-84.754505,600.0,195,-0.211276,-0.977426,Interior_Prairie_Midwest,data/raw_vouchers/IND-0138443.jpg
IND-0138442,IND,Packera paupercula (Michx.) Á.Löve & D.Löve,P. E. Rothrock,Tier_3_Bronze,None,45.939272,-84.754505,600.0,195,-0.211276,-0.977426,Interior_Prairie_Midwest,data/raw_vouchers/IND-0138442.jpg
v0005751WIS,WIS,Packera paupercula var. paupercula,"Mahoney, Alison",Tier_1_Gold,None,45.869845,-88.186927,1138.0,194,-0.194431,-0.980916,Interior_Prairie_Midwest,data/raw_vouchers/v0005751WIS.jpg
v0005752WIS,WIS,Packera paupercula var. paupercula,"Mahoney, Alison",Tier_1_Gold,None,45.816689,-89.038001,1138.0,190,-0.126528,-0.991963,Interior_Prairie_Midwest,data/raw_vouchers/v0005752WIS.jpg
UAM_Herb_41107,UAM,Packera paupercula (Michx.) Á.Löve & D.Löve,Dot Simpson,Tier_3_Bronze,None,64.33,-147.99,3615.0,231,-0.739392,-0.673275,Other_US,data/raw_vouchers/UAM_Herb_41107.jpg
NCU00369174,NCU,Packera paupercula var. appalachiana A.M.Mahoney,"Mahoney, Alison McKenzie",Tier_1_Gold,None,37.183964,-80.397446,169.0,150,0.532227,-0.846602,Piedmont_Granite_Flatrocks,data/raw_vouchers/NCU00369174.jpg
UVMVT105691,VT,Packera paupercula (Michx.) Á.Löve & D.Löve,D. K. Trock,Tier_1_Gold,None,44.49492,-73.18447,1538.0,141,0.656411,-0.754404,Appalachian_Highlands,data/raw_vouchers/UVMVT105691.jpg
v0005620WIS,WIS,Packera paupercula var. savannarum R.R.Kowal,"Mahoney, Alison",Tier_1_Gold,None,42.733986,-89.457007,1138.0,144,0.616621,-0.78726,Interior_Prairie_Midwest,data/raw_vouchers/v0005620WIS.jpg
UTEP_Herb_36969,UTEP,Senecio pauperculus Michx.,Keith H. Kessler,Tier_3_Bronze,None,32.984522,-105.686933,29.0,144,0.616621,-0.78726,Other_US,data/raw_vouchers/UTEP_Herb_36969.jpg
745596,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,47.477586,-95.986759,800.0,162,0.347403,-0.937716,Interior_Prairie_Midwest,data/raw_vouchers/745596.jpg
745609,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.362173,-93.983674,800.0,164,0.314942,-0.949111,Interior_Prairie_Midwest,data/raw_vouchers/745609.jpg
281793,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,47.969196,-91.831648,800.0,181,0.02795,-0.999609,Interior_Prairie_Midwest,data/raw_vouchers/281793.jpg
745608,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.115773,-93.817185,800.0,154,0.472759,-0.881192,Interior_Prairie_Midwest,data/raw_vouchers/745608.jpg
745585,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.318402,-93.942357,800.0,179,0.062318,-0.998056,Interior_Prairie_Midwest,data/raw_vouchers/745585.jpg
745720,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.3194,-96.379462,800.0,161,0.363482,-0.931601,Interior_Prairie_Midwest,data/raw_vouchers/745720.jpg
v0261833WIS,WIS,Packera paupercula var. savannarum R.R.Kowal,"Mahoney, Alison",Tier_1_Gold,None,43.140679,-89.744339,1138.0,153,0.487847,-0.872929,Interior_Prairie_Midwest,data/raw_vouchers/v0261833WIS.jpg
1202208,MICH,Packera paupercula var. pseudotomentosa (Mack. & Bush) R.R.Kowal,Robert R. Kowal,Tier_1_Gold,None,41.84683,-83.6463,316.0,143,0.630072,-0.776537,Appalachian_Highlands,data/raw_vouchers/1202208.jpg
1218993,MICH,Packera paupercula var. pseudotomentosa (Mack. & Bush) R.R.Kowal,Robert R. Kowal,Tier_1_Gold,None,41.85065,-83.62913,162.0,172,0.18176,-0.983343,Appalachian_Highlands,data/raw_vouchers/1218993.jpg
730639,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,46.521816,-96.414416,800.0,158,0.411054,-0.911611,Interior_Prairie_Midwest,data/raw_vouchers/730639.jpg
724602,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.376922,-94.835116,800.0,162,0.347403,-0.937716,Interior_Prairie_Midwest,data/raw_vouchers/724602.jpg
v0005778WIS,WIS,Packera paupercula var. paupercula,"Mahoney, Alison",Tier_1_Gold,None,46.620684,-91.215233,569.0,181,0.02795,-0.999609,Interior_Prairie_Midwest,data/raw_vouchers/v0005778WIS.jpg
v0261914WIS,WIS,Packera paupercula var. savannarum R.R.Kowal,"Mahoney, Alison",Tier_1_Gold,None,44.018729,-91.488628,285.0,161,0.363482,-0.931601,Appalachian_Highlands,data/raw_vouchers/v0261914WIS.jpg
v0261915WIS,WIS,Packera paupercula var. savannarum R.R.Kowal,"Mahoney, Alison",Tier_1_Gold,None,44.018729,-91.488628,285.0,161,0.363482,-0.931601,Appalachian_Highlands,data/raw_vouchers/v0261915WIS.jpg
v0005783WIS,WIS,Packera paupercula var. paupercula,"Mahoney, Alison",Tier_1_Gold,None,44.153608,-89.800153,285.0,169,0.232243,-0.972658,Interior_Prairie_Midwest,data/raw_vouchers/v0005783WIS.jpg
